Australian Bureau of Statistics

"2021 Census - internal migration"
"LGA (UR) by STATE (5YRS)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"STATE (5YRS)","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Other Territories","Overseas","Not stated","Not applicable","Total",
"Swan Hill",367,16041,101,85,56,27,40,3,0,1337,2040,1298,21403,
"Towong",366,4736,90,21,16,5,14,17,0,91,587,278,6223,
"Wangaratta",494,24703,274,67,105,38,55,25,0,422,2096,1535,29808,
"Warrnambool",219,29400,238,181,128,45,55,16,0,943,2354,1828,35406,
"Wellington",620,36118,566,177,141,99,98,86,0,695,4650,2397,45639,
"West Wimmera",52,3095,22,112,12,3,5,0,0,45,413,238,4006,
"Whitehorse",1201,135172,808,491,520,248,125,203,0,15532,7272,7787,169346,
"Whittlesea",1563,184614,999,630,553,192,298,152,0,13001,10883,16508,229396,
"Wodonga",2932,32135,988,171,215,99,199,167,0,966,2681,2702,43253,
"Wyndham",4615,206735,2322,1415,1541,508,522,381,5,30424,17446,26099,292011,
"Yarra",2456,66245,1547,639,956,281,149,450,0,8122,5631,3636,90114,
"Yarra Ranges",583,135844,556,132,257,114,101,47,0,2361,6769,9298,156068,
"Yarriambiack",60,5391,47,33,20,3,20,0,0,48,638,284,6556,
"Unincorporated Vic",26,485,43,4,12,10,5,3,0,100,253,21,955,
"No usual address (Vic.)",184,3789,199,62,70,34,30,17,0,568,3722,414,9089,
"Migratory - Offshore - Shipping (Vic.)",0,5,0,0,0,0,0,0,0,5,27,0,38,
"Total",68685,5195053,43045,20535,22556,9083,7755,7964,42,372053,380829,375900,6503491,


"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
